# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ../ArnoldivsPower --verbose 2 --numValues 2 --inactive 2 --incycles 20 --storevectors 0 --width 50 --tol 2.22045e-16\n --arnoldimethod explicit --power --relaxed 0.1 --residual --active 50 --acycles 200 --evectors 2 --evalues 2 --seed 0 --Iterations 10 --bins 75 -r --tracks 1000000 -f RelaxedTracks/50mfp.t1000000.dat  seed = 2947104327
# filename = RelaxedTracks/50mfp.t1000000.dat, run = true, power = false, Arnoldi = true, storevectors = 0, raw = false, evectors = 2, evalues = 2, residual = true, arnoldimethod = explicit, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, acycles = 200, incycles = 20, active = 50, inactive = 2, Iterations = 10, numValues = 2, relaxed = 0.1, tracks = 1000000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8            9             10           11           12            13           14            15           16            17           18           19            20           21           22            23           24           25            26           27           28           
# |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-     Residual-Real    -| |-     Residual-Imag    -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   35.667       0.13471      0.004962      35.667       -0           0             35.667       -0.081798    0.0090491     35.667       0            0             
   36.333       0.13105      0.0051239     36.333       -0           0             36.333       -0.093657    0.0090346     36.333       0            0             
   37           0.12757      0.0053119     37           -0           0             37           -0.10564     0.0088352     37           0            0             
   37.667       0.12306      0.005485      37.667       -0           0             37.667       -0.11656     0.0087718     37.667       0            0             
   38.333       0.11918      0.0056446     38.333       -0           0             38.333       -0.12618     0.008531      38.333       0            0             
   39           0.11434      0.0055851     39           -0           0             39           -0.13357     0.0086054     39           0            0             
   39.667       0.10945      0.0056337     39.667       -0           0             39.667       -0.14036     0.0085496     39.667       0            0             
   40.333       0.10476      0.0055966     40.333       -0           0             40.333       -0.14515     0.0084746     40.333       0            0             
   41           0.099752     0.0055846     41           -0           0             41           -0.14809     0.0084677     41           0            0             
   41.667       0.094786     0.0054553     41.667       -0           0             41.667       -0.14808     0.0084217     41.667       0            0             
   42.333       0.088829     0.0052973     42.333       -0           0             42.333       -0.14692     0.0081885     42.333       0            0             
   43           0.082791     0.0050516     43           -0           0             43           -0.14227     0.0081578     43           0            0             
   43.667       0.076235     0.0048768     43.667       -0           0             43.667       -0.13794     0.0077639     43.667       0            0             
   44.333       0.069749     0.0047332     44.333       -0           0             44.333       -0.13117     0.0073239     44.333       0            0             
   45           0.063241     0.0045747     45           -0           0             45           -0.12275     0.0068552     45           0            0             
   45.667       0.056803     0.0042834     45.667       -0           0             45.667       -0.11167     0.0062762     45.667       0            0             
   46.333       0.049946     0.0039505     46.333       -0           0             46.333       -0.099877    0.0057492     46.333       0            0             
   47           0.043074     0.0035368     47           -0           0             47           -0.086212    0.0050703     47           0            0             
   47.667       0.036353     0.0030261     47.667       -0           0             47.667       -0.071775    0.0044351     47.667       0            0             
   48.333       0.028711     0.0023752     48.333       -0           0             48.333       -0.057551    0.0036521     48.333       0            0             
   49           0.020747     0.0017248     49           -0           0             49           -0.042521    0.0026955     49           0            0             
   49.667       0.012464     0.001054      49.667       -0           0             49.667       -0.025522    0.0016395     49.667       0            0             
